Product ID,Product Rating,Review Comments,Purchase Date,Return Date,Review Date,Category,
PROD-SaO-6977,5,I'm gonna give you the begginers outlook. I am only on day 3. I've done kick boxing and football so I'm not out of shape in the sense of not working out. I've had 3 knee surgeries and have fractured my ankle on my dominant (right) side. My dad is a pastor and a physical therapist healing hands I gue,2024-04-13,,2024-04-19,Sports_and_Outdoors,
PROD-B-8517,5,"Lee Child hits the bull's-eye and forces the reader into a dramatic turn of events.  The story follows the story of the grandfather, Father, the grandson, and the grandson's mother.  A detailed account of the life of the grandfather, Father, and the grandson's mother is told.  The story is well rese",2024-06-01,2024-06-11,2024-06-03,Books,
PROD-TaG-3621,4,"My 1 year old baby loves it,it is a little bit short as many reviews has said but still interesting",2022-04-21,,2022-05-14,Toys_and_Games,
PROD-B-6168,4,I haven't read much Stephen King but I really enjoyed the Shining.  It has been referenced so much in pop culture and has influenced so many works it was great to finally read it.,2022-05-05,,2022-05-18,Books,
PROD-SaO-6977,5,"These get 5 stars, I use it everyday. It is very comfortable and my hands are warm and warm. If you are a yoga teacher or a beginner, you may be disappointed in this product. It is great for beginners. I would recommend it. I bought this for my husband for his birthday. He's a huge fan of the milita",2022-08-12,2022-08-23,2022-08-13,Sports_and_Outdoors,
PROD-PS-2876,5,My new kittens just love this toy and the dogs love it.  My 2 cats are pretty picky so I had to get a treat to get them to eat.  I will definitely buy again.  It's a little pricey for one cat but I don't have to worry about getting a treat as they love the flavor.  They are very picky so I like the ,2022-10-15,2022-10-25,2022-10-17,Pet_Supplies,
PROD-PS-8668,2,"I'm a perfectionist, in all I do and in my work; I expect the same pride in workmanship and design as I put into my own designs and products...

This cheap, thin, tin-like metal has no substance to it at all; its tantamount to a polished tin can. The 'anti spill' ring (atop the bowl) is too large fo",2022-06-04,,2022-07-04,Pet_Supplies,
PROD-KS-4582,5,"I was given this book in exchange for an honest review.

I really enjoyed this book. It was well written and I liked how the characters were developed. I was very impressed with the writing style and the characters. I would recommend it.I really enjoyed this book. The first book was a great read. I ",2022-07-20,2022-07-23,2022-07-23,Kindle_Store,
PROD-PS-7304,1,Customer service/warranty from this company is non exsistant. I have the largest one of these bowls and the stem on the bottom broke which then would not allow the water to flow up through the machine thus defeating the purpose and rendering it trash. I called customer service and they refused to re,2023-04-30,,2023-05-18,Pet_Supplies,
PROD-B-4483,5,"I'm so in love with this book, I'd recommend it to anyone who enjoys the paranormal genre",2023-03-14,,2023-03-15,Books,
PROD-SaO-2139,5,I love my gnome. The gnome has held up well outside in the wind and snow.,2024-02-16,2024-02-23,2024-03-02,Sports_and_Outdoors,
PROD-SaO-7065,5,"Perfect fit, great price.  Revived the helmet to functional use.  Beats buying a new helmet when the helmet is in excellent condition.",2024-07-20,,2024-08-14,Sports_and_Outdoors,
PROD-HaK-7126,5,"We purchased two sets of this set and they look just like the picture.  I am very pleased with them.  The plastic parts are very sturdy, and the cover is very sturdy.  They are still very attractive, and I think they are going to last a long time.  I would definitely buy these again!They are a great",2024-09-23,2024-09-29,2024-09-25,Home_and_Kitchen,
PROD-CSaJ-9279,4,great backpack lots of space and a nice quality.Very good quality.Nice bag.Very pretty.,2022-05-05,,2022-05-06,Clothing_Shoes_and_Jewelry,
PROD-PS-2040,3,"Sorry to see this product was made in China. After the discovery of the bad dog food from China in addition to other things (lead paint in children's toys), I don't feel completely confident that these treats are not harmful.",2024-09-03,,2024-10-03,Pet_Supplies,
PROD-SaO-2654,4,"Good quality and perfect size of 40"" for my Ruger M77 compact rifle that's 36"". Heavy zipper, extra cargo pockets and a Ruger logo to match my rifle. I thought that all of Allen's cases were made in the USA, but this one has a ""Made in China"" tag sewn into it. I'm docking one star for not being Amer",2022-11-19,2022-11-23,2022-12-08,Sports_and_Outdoors,
PROD-TaG-3621,4,"Good Value, chuggington trains can go on the track and make a great gift for a",2023-01-16,2023-01-29,2023-01-17,Toys_and_Games,
PROD-HaK-9837,5,"Our 3 & 1/2 year old have been using them for a month now and have been using them to make homemade Biscuit Chicken, Biscuit Rolls, and other kinds of sandwiches. They are great for baking, which is always a challenge. They are very sturdy and the rubber seal is great for holding the eggs and nuts. ",2023-04-27,2023-05-03,2023-04-30,Home_and_Kitchen,
PROD-KS-7912,4,This is s very enjoyable read . I couldn't put it down. A bit of history combined with modern day interest.  A love a strange love affair that works.,2022-03-23,,2022-04-08,Kindle_Store,
PROD-MaT-9785,5,My favorite Star Trek of all.  Not one bad season in the bunch,2024-12-06,,2024-12-17,Movies_and_TV,
PROD-E-1319,4,"Great little space saving computer, Hard Drive did fail a little over a month out of warranty - have replaced with SSD and all is well.

First Apple product in 20 years of purchasing Apple stuff I've ever had an issue with.
Besides that, super quiet(is basically a laptop motherboard without a screen",2023-10-06,,2023-10-21,Electronics,
PROD-E-9005,5,Cannot the difference between this and a professional quality product. works great. Nice little speaker.,2023-09-07,2023-09-10,2023-09-08,Electronics,
PROD-SaO-4814,5,"Dear Amazon Shopper,

The bottom line is this is an excellent product for the money.  I have one in my basement and the other in a garage.  The plastic is solid and strong and the coating is well made.  The only negative is that the mesh flap is a little short for the rubber hose.  I have to leave i",2022-07-24,2022-08-04,2022-07-25,Sports_and_Outdoors,
PROD-B-2084,4,"A very long book of some interesting and thought provoking thoughts.

If you have been following the story from the beginning, you will love this book!

This is a great book to read and look at in a few years.I read this book to my two year old daughter and it's a very good book. I love the fact tha",2022-09-29,,2022-09-30,Books,
PROD-TaHI-4752,5,"Been running strong for 2 years now, quieter than my last one, and definitely more power.  More affordable than anything in the big box stores of this size as well.",2023-05-16,,2023-05-24,Tools_and_Home_Improvement,
PROD-KS-9935,5,"Writing about the effects of the curse of the Scottish play in Stratford upon Avondale, Monica Knightly manages to make murder fun. Or at least solving it. A fast pace, strong protagonist and a slew (yes, slew) of friends and coconspirators combine with intelligent but not boring language make for a",2023-09-12,,2023-10-10,Kindle_Store,
PROD-PS-6573,1,My dog is a hard chewer and she loves these treats.  These treats are a treat to give her.  The only thing I can say is that she does not like these treats.  I have been giving her a few of these for her and she still likes them.  I have to admit that I do not want her to be able to chew on them.  T,2024-12-19,2024-12-26,2024-12-22,Pet_Supplies,
PROD-HaK-9689,5,"I recently lost my Contigo mug like this and started using a random back-up mug I already had laying around the kitchen. After a few days, I noticed that I'd finished my coffee hours earlier than usual every single morning with the back-up mug. Normally I sip on my coffee until it's nearly lunchtime",2022-08-01,,2022-08-08,Home_and_Kitchen,
PROD-SaO-4733,5,"When the SHTF the MRE's I bought will be used.  For now they are in a secure area...waiting...all ""preppers"" need to pay attention.",2022-08-25,,2022-09-20,Sports_and_Outdoors,
PROD-CSaJ-1106,5,Big hit with the boys' shirts. The quality is good but the waist is a little short.Great quality and fit. The front part is,2022-11-15,2022-11-21,2022-11-18,Clothing_Shoes_and_Jewelry,
PROD-B-3340,3,"Silly me, I figured that after so many reviewers' complaints about  Hutch being stuck behind a desk in the last couple novels, the author was going to make his (and Priscilla's) many fans happy by writing a story of her early years.  Made sense to me, as it seemed an easy way to get our favorite fem",2023-12-04,,2023-12-27,Books,
PROD-HaK-9837,5,"Thank you Amazon reviewers! I use it everyday. It is a great product for the price!I am a big fan of the plastic ones.  The plastic ones are so great, and the color is beautiful.  I love how they are made.  I use them to make my salad and a salad dressings.  I also make my own salad dressing with th",2023-06-25,2023-06-28,2023-06-27,Home_and_Kitchen,
PROD-TaHI-4432,5,"Using as a timer for a number of years, these are a nice little light.",2024-05-17,,2024-05-18,Tools_and_Home_Improvement,
PROD-CSaJ-9279,4,"Really a neat bag to carry all kinds of stuff. It is totally soft sided & collapsible-also alot roomier than you'd expect. However, the bottom is also just soft canvas & if you're carrying a netbook/laptop you will need to protect them by adding padding to the bottom or carrying them in some other c",2023-11-15,,2023-12-08,Clothing_Shoes_and_Jewelry,
PROD-CSaJ-7873,5,These shoes are lightweight yet provide a more dressy look. I can wear them for long periods of time and walk comfortably. I would recommend them for women who are trying to wear more heels but don't want the discomfort of a v-shaped front shoe.,2022-11-27,,2022-12-17,Clothing_Shoes_and_Jewelry,
PROD-B-3340,5,"Not really what I expected - far more into the sci-fi/fantasy realm than I was anticipating, having never read Neil Gaiman before. I did really enjoy the book. Nice vivid descriptions, imaginative story. I was really wondering how the boy was ever going to escape from the evil nanny!",2024-05-25,,2024-05-31,Books,
PROD-HaK-1053,5,I was concerned about how secure this would be holding my pots up but it hasn't had a problem yet. It fits perfectly in the small space I have. I can easily access each pan or pot I need without too much of a problem. The couple of hook on the back are a little difficult to get to but I put items th,2022-11-02,,2022-12-01,Home_and_Kitchen,
PROD-E-6947,1,"Driver disk has no drivers.
Win111 disk installs but fails to find the network usb stick on any USB port in the system.
And I wasted overnight mailing from Amazon.",2022-10-31,,2022-11-04,Electronics,
PROD-CSaJ-7873,4,"I usually wear a size 36 x 34 in all my jeans regardless of brand, so I ordered accordingly for the Silver Zac jeans. While trying to find my size, I discovered that Silver's official website offers a generic sizing chart, but trying to estimate my exact size was difficult based on the limited infor",2024-01-17,,2024-02-14,Clothing_Shoes_and_Jewelry,
PROD-KS-4582,5,Great book.  Love this author and will continue to support her work.,2022-03-23,,2022-04-01,Kindle_Store,
PROD-E-2290,5,Have used at many meetings and no issues at all.,2023-05-27,,2023-06-10,Electronics,
PROD-HaK-3646,5,"I'm very happy with the Aeternum pots and pans. Excellent non-stick surface that cleans up easily with just water. I think they work as well as much more expensive pots and pans, so great performance for the price. I bought this one as an addition to the one that came with the set, because it's the ",2024-04-12,,2024-05-08,Home_and_Kitchen,
PROD-TaHI-5374,5,Everything I needed to setup was an AC outlet and a USB power supply.  I was pretty careful with the extra screws and the power,2023-04-30,,2023-05-01,Tools_and_Home_Improvement,
PROD-E-9727,5,"I have tried several cases and this one does the job.

The only reason I gave it 4 stars is that the plastic parts are too small to fit comfortably inside the case. The case is made of plastic and the plastic part on the bottom is very soft. If you have a small case with a soft case the case will no",2024-04-24,2024-05-02,2024-04-27,Electronics,
PROD-SaO-6977,5,"The questions I had about this product before I received it were: is it actually waterproof or just water resistant? Is it durable? Would the material crack? Well, it really is waterproof. It uses two very heavy-duty Ziploc type strips to seal the pouch and a very strong Velcro type strip to hold th",2024-04-23,,2024-05-23,Sports_and_Outdoors,
PROD-HaK-7126,5,"Beautiful! The item arrived swiftly and has arrived with a very good seal. Nice, sturdy, and functional. Great for the price. Not too big or too small. The only thing I would change is that the carpet is very thick.",2023-05-24,2023-05-28,2023-05-27,Home_and_Kitchen,
PROD-TaHI-5010,5,"great, I also coated it with an alcohol paint to make it a little more uniform.

",2022-03-21,,2022-03-22,Tools_and_Home_Improvement,
PROD-B-5386,5,"I read this book and I really enjoyed it. A poignant, memorable, sad, moving and touching story of one of the most tragic events in the state of CT. I enjoyed all the old pictures, the stories, and the memories in this book about the fire. It told of the aftermath also. It was well written and Mr O'",2024-07-31,,2024-08-29,Books,
PROD-KS-2535,5,"Sometimes I want a good, short, read, and this one did the trick.  I tried to guess all the way through who the arsonist might be.. I read a lot of suspense and usually have a suspect in mind.  Not so with this book.  The romance between Carlisle and Chet, as well as Mike and Kelly was wholesome and",2023-04-12,,2023-05-06,Kindle_Store,
PROD-TaG-7543,5,"These are very sturdy and well made.

My daughter loves the faces and we use them to practice making faces and telling what they are.

They've been used as hats or balance tools for walking across. So many more uses than I would have thought.",2024-03-27,,2024-04-26,Toys_and_Games,
PROD-MaT-2674,5,Great story line. Jet Li played an excellent role. Full of action and comedy.,2023-07-26,,2023-08-14,Movies_and_TV,
PROD-PS-1188,5,Every cat I have given these to have so far loved them. They are especially a huge hit with 8-10 week old kittens!,2023-11-10,,2023-11-16,Pet_Supplies,
PROD-TaG-7916,5,cute plates for a birthday party or any occasion. We had extras after my sons' party and the family loved using them when they came over for dinner a few days later!,2023-06-19,,2023-06-30,Toys_and_Games,
PROD-TaHI-6820,2,"This bulb works fine, but it in no way, throws yellow colored light.  Buy the yellow ""cork screw"" type bulbs if you REALLY want to keep bugs off your front porch.",2022-08-11,,2022-08-25,Tools_and_Home_Improvement,
PROD-B-3340,2,"Sounds like Crichton was using this book as a precursor to an amusement park theme for kids.  Honey, I shrunk the kids.",2023-10-05,,2023-10-24,Books,
PROD-MaT-2674,5,I just found some interesting material on the internet about this film.  This is a great one.I really enjoyed the film. The script and acting were very good. The acting was very good. I would highly recommend this film to anyone who likes action films.It was good. I love a good family movie. I did n,2024-02-28,,2024-02-29,Movies_and_TV,
PROD-MaT-2584,5,"the quality of the movies are not as good as in the movies.

The movie has a couple of extra scenes in the beginning.  The movie itself has a great soundtrack and is worth watching.  It's a very good movie.This is one of my favorite series.  It is a great way to start your workout.  The ending is ve",2022-04-01,,2022-04-02,Movies_and_TV,
PROD-SaO-2654,4,"We normally play with the&nbsp;<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/Canyon-Cross-Road-High-Grip-Seats-High-Rope-Barrel/dp/B0005A7M8/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">Canyon Cross Road High Grip Seats High Roller Barrel</a>&nbsp;I bought this for a friend, but he does not li",2023-02-08,2023-02-21,2023-02-09,Sports_and_Outdoors,
PROD-TaG-7916,5,These planes are great.  We have the Brio and the Queen.  The Brio has a nice two-piece box.  There is also the Tamiya version of,2023-11-08,2023-11-12,2023-11-11,Toys_and_Games,
PROD-TaG-2796,1,Total junk. The magnet is not strong enough to hold it in place. The magnet doesn't hold the ball well.  The plastic is a bit flimsy and the holes are very small.  The ball is not in good shape.,2023-09-08,2023-09-17,2023-09-11,Toys_and_Games,
PROD-TaG-4593,5,I have spent some amount of time playing with this walnut sized wonder. It is unexplainably addictive. Maybe it's the rather cool free apps that Ozobot has available for it. Maybe it's the color changing LED lights. Maybe it's the way you calibrate and tune it. The cool factor is just off the charts,2024-04-04,,2024-04-24,Toys_and_Games,
PROD-MaT-2519,4,"Great for a Marilyn fest. --- Nice to see Niagra ( neo film noir  in color ) for the first time --- Yeah I know like ""Leave her to heaven"" (also in color) they defy the labeling of Noir which means black in French. ---- Anyway you probably already know about all the individual films. This collection",2023-01-28,,2023-02-12,Movies_and_TV,
PROD-TaHI-5422,2,It work for about three weeks. The only problem is that it's not really a strong one.,2022-12-23,2023-01-01,2022-12-25,Tools_and_Home_Improvement,
PROD-B-9179,4,First Stone novel. Good read. And it was not even a Parker novel. Thoroughly enjoyed it. Been a long time since I read a novel.,2022-01-01,,2022-01-10,Books,
PROD-HaK-2743,5,Finally found a can opener that opens cans simply and easy. What more can I say except that it's well made and sturdy? Nuff said.,2023-10-22,,2023-11-08,Home_and_Kitchen,
PROD-MaT-9785,5,I really enjoyed thinking about what it would be like to be a father who is a father and son.  I had to watch it,2023-03-14,2023-03-19,2023-03-17,Movies_and_TV,
PROD-KS-1520,4,"Excellent book! Being a parent is never an easy job, it comes with great responsibility on how we are going to deal with it. This book gives you insights and advises on how to face the challenges of being a parent and on how you are going to deal with your kid's personalities and characters in the r",2022-06-23,,2022-07-17,Kindle_Store,
PROD-B-8517,5,"Seriously, wow! I knew when I read the book that it was a book that would appeal to the older generation. I had to read it before I could even begin to consider it as a book that I would read again in a few",2023-11-18,2023-12-01,2023-11-19,Books,
PROD-E-2832,3,"UPDATE 8/8/2012: I haven't had the case/cover for 3 months, yet...and it's already showing signs of falling apart. I use the case/cover at home and for one class I'm taking, and after a short 3 months it's surface material is cracking and starting to peel off where the cover folds (multiple location",2023-04-06,,2023-04-13,Electronics,
PROD-TaG-9830,4,"Both of my sons really enjoy this toy. The Cyberex is one of the best parts, but it is also really fun that you can lock a bad guy, or Batman, in to the stomach cage of Cyberex, which is also a great place to store Batman when you are done playing!
When Batman rides on his back, you can push on a bu",2022-04-05,,2022-04-23,Toys_and_Games,
PROD-TaHI-7216,5,"Good rip fence. It actually comes with three thumbscrews. The new model Milwaukee saw uses one thumbscrew, & the old model uses two, so all three are included. I have owned both models, and the one with two thumbscrews works better. The new model I have now has the one thumbscrew that goes in at an ",2022-05-30,,2022-06-22,Tools_and_Home_Improvement,
PROD-PS-5371,4,"I have seven cats, no dogs. I sometimes get these purebites that are marketed to dogs because the bags are so much bigger. The pieces in the ""dog"" ones are bigger & sometimes harder than the ones for cats. I do  have to break up the big pieces and eliminate the really hard ones, but it is such a goo",2023-02-03,,2023-02-18,Pet_Supplies,
PROD-B-4483,5,"Skeletons at the Feast is a book I want to read again. This is a book that is a keeper. The people, the places, the words, the stories, the stories of the people and the people of the land are one thing. But it is also a book that is a great read. I will be reading the next one in the series. I love",2024-03-29,2024-04-12,2024-04-01,Books,
PROD-KS-2824,5,Another great story in the series. The characters are well developed and the story is well told. The story is well written and the characters are well developed.I love this book.  The characters are well developed and the story is well written.  This book is a great series,2022-08-07,,2022-08-08,Kindle_Store,
PROD-KS-5506,4,A refreshing read.  At first I thought the writing was good but as the story progressed I realized the author had not had a grasp of how to develop the characters.  The writing was very difficult to follow and the dialogue was quite a bit choppy.  The story was short and the story was fast paced but,2024-11-26,2024-12-02,2024-11-29,Kindle_Store,
PROD-TaG-7916,5,"Great and fun looking sculpt. Comes nicely off his base, but some of the yellow speed bolts are a little fragile, word of warning. Otherwise a very fun interpretation of the Flash",2022-09-06,,2022-10-04,Toys_and_Games,
PROD-TaG-9348,4,"I love how it comes with the handle and wheels to cart around behind my son.  The only thing that I did not like was that it comes apart very easily and my 2 year old is constantly pulling the front and back apart.  But it is durable, and he has yet to break it.
For the price it is a great deal if y",2024-12-23,,2025-01-14,Toys_and_Games,
PROD-PS-5119,3,I sue these dogs beds as a liner for my dog's cots.  This is what I was looking for to place on top of the dog cots so they are not laying on the rougher mesh surface of the cot.  They fit the large cots well.  They are a too thin to use alone as a dog bed.  They fit well in a large wire kennel but ,2024-06-25,,2024-07-21,Pet_Supplies,
PROD-HaK-9689,3,"Not a lot of variety, but I thought it would be a nice addition to the kitchen.",2024-10-30,2024-11-09,2024-11-02,Home_and_Kitchen,
PROD-PS-3591,4,use these on a line i ran to a sunken destroyer in my tank.. brought the thing to life.. price was fair and shipping qiuck!! good deal.,2022-11-22,,2022-12-10,Pet_Supplies,
PROD-TaHI-3677,5,"These work as good as a standard 3/4"" thick saw. The dimensions are just right.",2023-06-15,,2023-06-18,Tools_and_Home_Improvement,
PROD-MaT-2584,5,"THE BEST ACTION SERIES I HAVE EVER SEEN!!!!!!!!!!!!

The story is very well",2024-12-03,2024-12-10,2024-12-04,Movies_and_TV,
PROD-E-4923,5,"Excellent on size, function and design.  A big plus that it is able to read 4tb portable hard drive.",2022-06-08,,2022-06-18,Electronics,
PROD-TaHI-3803,1,Exterior view on each handle end very poor visibly. Looks like two gears pressed together. Returning all for refund. Would work well in rental units but not for my primary residence.,2023-11-19,,2023-12-09,Tools_and_Home_Improvement,
PROD-MaT-2674,5,"This series is amazing! Even if it only has a handful of episodes, it's so well-plotted and most of the characters are amazingly acted. Heather was underutilized, but I won't get into that for brevity and sanity's sake. I think the best part of the show is that it has a rich cast of characters that ",2022-10-11,,2022-10-26,Movies_and_TV,
PROD-MaT-3045,3,It's ok. I get it's a classic but still it's just an ok movie.,2022-11-09,,2022-11-14,Movies_and_TV,
PROD-KS-2679,5,"This series is great fun and has the characters you love.

If you have been following the series you have a good idea of what to",2024-04-14,2024-04-23,2024-04-16,Kindle_Store,
PROD-MaT-6514,4,"This is an especially good young person's movie. It's an engaging, fun, and entertaining way to involve children in the basic philosophical issue of ontology. Ontology is the study of what it means to exist, or in the case of ""Short Circuit,"" what it means to be alive. Note Ren Descarte's (1596-1650",2023-02-28,,2023-03-15,Movies_and_TV,
PROD-E-9727,3,"The 'tulip' shape makes weird shadows, like a vignette, and you have to keep moving it until that goes away. Sometimes it doesn't go away at all. I would've rather had the round shaped lens hood but couldn't find one.",2022-02-10,,2022-03-09,Electronics,
PROD-KS-7912,1,THIS IS ONLY A FEW CHAPTERS OF A BOOK.  VERY DISAPPOINTED!  I thought it was a whole story!  Don't buy it.,2024-02-19,,2024-03-04,Kindle_Store,
PROD-TaHI-3803,5,"I use these for big projects. The only problem is that they are tiny, and the one I bought from the Amazon box is a bit small, but if you don't mind that they are small, it's not a huge problem.I have had several of these. The most important thing is to use them on the most difficult jobs. I have ha",2024-03-09,,2024-03-11,Tools_and_Home_Improvement,
PROD-MaT-1711,5,"One of Lon Chaney's Best films. I'm  Surprise  There never been a talk about a remake to this masterpiece. I love this movie you can feel Lon Chaney's  pain and anger in the film.

This got to be the best print copy to date, now I can see more details of the film, way better then the DVD.",2023-03-28,,2023-04-08,Movies_and_TV,
PROD-E-6038,1,"Broke after two months. I had an older cell phone which was a lot more difficult to get used to.  I had to replace the charger and then the cable, so it was a pain to plug into the",2024-09-21,2024-10-04,2024-09-23,Electronics,
PROD-TaG-1771,4,if new at it a few days ago.  We've had it for a couple of weeks now and it's still going strong,2024-04-08,,2024-04-10,Toys_and_Games,
PROD-HaK-9689,5,I have had one of these for over a year and I still love it. I have one in my bathroom and the other in my office.,2022-09-19,,2022-09-22,Home_and_Kitchen,
PROD-CSaJ-9279,4,"I struggle with shoes and this is the only one I've tried.

The sizing is accurate.  The material is nice, but the heel is a bit wide.  The shoe is a little tight on my feet, but they aren't as wide as some of the other products I've tried.

I'm also a size 10 and ordered a medium.  They are a bit t",2024-03-17,2024-03-20,2024-03-20,Clothing_Shoes_and_Jewelry,
PROD-E-6310,5,If they can keep this quality up for a few years ... before being bought up by a company that will drive the quality into the ground for profit. That would be wonderful !!,2024-05-27,2024-06-01,2024-06-13,Electronics,
PROD-KS-2824,4,this a interesting story about a boy and girl who are both in love with each other.  The story follows the story of,2023-06-17,2023-06-27,2023-06-18,Kindle_Store,
PROD-HaK-9317,5,"I was nervous using this, but I thought it would be a nice addition to the kitchen. It is so small that it is a bit difficult to put together, but it is pretty easy to assemble. It is a good size for a small space. I use it to heat up the",2023-11-23,,2023-11-25,Home_and_Kitchen,
PROD-TaG-6930,5,"these were great as pinata, but the pieces were a little hard to make up.",2024-05-13,2024-05-23,2024-05-14,Toys_and_Games,
PROD-TaG-9830,3,"Suspected that my ""all in one"" set was defective. I will update my review once I find out. If you are a fan of both the trains, you'll love",2022-04-17,,2022-04-19,Toys_and_Games,
PROD-HaK-9201,3,"THis would make a beautiful gift. The only problem is that it's not really a vacuum, but a pair of the best vacuum bags I have ever owned. This vacuum is very powerful",2022-05-21,,2022-05-24,Home_and_Kitchen,
PROD-KS-2824,4,Things Liars Fake is my go to book for the third time in a while. I was just starting to read it and it was a bit slow but the flow was good. I enjoyed the story and look forward to reading the next book.This was a very good story. The characters were well developed. I liked the way the story line w,2022-03-05,,2022-03-06,Kindle_Store,
PROD-TaHI-1916,4,"I've tried others, but this one has the quality and quality of a GFCI. It has a nice touch. ",2022-02-11,2022-02-16,2022-02-12,Tools_and_Home_Improvement,
PROD-CSaJ-5557,5,"I love the FRYE boot, it is more than what I expected.",2022-08-23,,2022-09-01,Clothing_Shoes_and_Jewelry,
PROD-B-4483,3,"sorry, for me this is just getting a bit old and tired...especially with the fact that nearly all of the original characters are either dead, or mostly dead.

really enjoyed the series a great deal, but it appears that vs an ""end""...this is just going to morph into an entire new story with brand new",2023-06-09,,2023-06-17,Books,
PROD-B-7482,5,"I don't remember how I got into the story, but I did find that it was a pretty good story. I had a lot of fun with the characters and the plots. I enjoyed that it was a little darker in places, but it was still a very good story.

I received a free copy of this book from",2022-08-23,,2022-08-24,Books,
PROD-B-2084,3,Just like all the rest.  I love the writing.  The plot is just amazing. ,2022-08-10,2022-08-22,2022-08-12,Books,
PROD-MaT-9785,5,"I enjoyed this DVD because it showed me all of China including Tibet. Also I could take some Chinese lessons. If you see this DVD, you will really want to see cute pandas in China!!",2024-02-08,,2024-03-04,Movies_and_TV,
PROD-HaK-9201,5,This organizer fits very nicely into the bottom of my closet and also looks great in my bedroom and is so very functional.  I highly recommend.,2022-06-05,,2022-07-04,Home_and_Kitchen,
PROD-TaG-1771,5,Though baby would get bored with this - but not so.  Took two legs off for sitting activity - now standing and it is an activity table.,2023-05-13,2023-05-20,2023-06-09,Toys_and_Games,
PROD-B-3287,4,"Great story. Classic Leonard style. Gritty, simple prose that has power way beyond the words. Read it and enjoy it.",2022-09-05,,2022-09-26,Books,
PROD-E-8962,4,"This is the best monitor I have ever used.  I will keep this one in my collection.I bought this for a friend, and he is very happy with the purchase.  The only thing I wish it had been a little bit better for is the battery life.  He also likes it.  I have the most of the batteries in the house, so ",2022-03-26,2022-04-08,2022-03-28,Electronics,
PROD-TaG-4593,5,I bought these to go with the Noah's ark.  They are really nice and they all fit in the ark.  My grandson loves them!,2022-05-22,,2022-06-04,Toys_and_Games,
PROD-PS-2040,5,This collar is amazing! Throw it on and let it do its thing. My dog loves it and we have two small dogs. I am very happy with the purchase. This is a great product. It is great for keeping the carpet fresh. I have a very active cat and this does the job. It is very easy to put on and take off and it,2024-05-10,,2024-05-11,Pet_Supplies,
PROD-HaK-2743,5,Very cute.  I made two out of this towel...same design on both sides...crocheted a top with button to hang from oven or refrigerator door handle.  Makes two nice gifts.,2024-01-12,,2024-02-10,Home_and_Kitchen,
PROD-E-4923,5,"This is an awesome radio! I have two and showed it to my friend and she ordered one to. Great sound, Great battery life, Charges my Ipod with ease, Lightweight... Over all this deserves 1000 stars in my book.",2022-11-10,,2022-12-06,Electronics,
